id,customer,position,alt_customer,alt_position,status,product_name,photo_url,is_deleted
504,Others,44C b.,null,null,null,null,null,false
505,Škoda,47B z.,null,null,null,null,null,false
507,Škoda,48C z.,null,null,null,null,null,false
508,Škoda,47A z.,null,null,null,null,null,false
509,Škoda,49C m.,null,null,null,null,null,false
511,Škoda,47B b.,null,null,null,null,null,false
514,Witte,43E b.,null,null,null,null,null,false
518,Witte,41C b.,null,null,null,null,null,false
519,Scherdel,37B m.,null,null,null,null,null,false
52,Scherdel,38B m.,null,null,null,null,null,false
520,Novares,39C m.,null,null,null,null,null,false
521,Novares,44C b.,null,null,null,null,null,false
522,Novares,39C m.,null,null,null,null,null,false
523,Witte,42B h.,null,null,null,null,null,false
524,Scherdel,37B h.,Novares,39A h.,null,null,null,false
525,Novares,39C c.,null,null,null,null,null,false
526,Novares,39C c.,null,null,null,null,null,false
528,Novares,39C c.,null,null,null,null,null,false
530,Novares,39C c.,null,null,null,null,null,false
533,Witte,42B h.,null,null,null,null,null,false
534,Witte,41C h.,null,null,null,null,null,false
535,Novares,39C c.,null,null,null,null,null,false
536,Novares,39C c.,null,null,null,null,null,false
537,Novares,39C c.,null,null,null,null,null,false
538,Novares,39C c.,null,null,null,null,null,false
54,Witte,42A m.,null,null,null,null,null,false
541,Witte,41A b.,null,null,null,null,null,false
542,Witte,41B h.,null,null,null,null,null,false
543,Novares,39B h.,null,null,null,null,null,false
548,Scherdel,37A h.,null,null,null,null,null,false
549,Scherdel,38B b.,null,null,null,null,null,false
550,Witte,41A c.,null,null,null,null,null,false
551,Witte,42B c.,null,null,null,null,null,false
554,Witte,41C h.,null,null,null,null,null,false
556,Witte,41B b.,null,null,null,null,null,false
557,Scherdel,38C m.,null,null,null,null,null,false
558,Witte,41A b.,null,null,null,null,null,false
559,Scherdel,37C h.,null,null,null,null,null,false
569,Witte,41C b.,null,null,null,null,null,false
57,Novares,44A c.,null,null,null,null,null,false
570,Witte,42C c.,null,null,null,null,null,false
574,Novares,40B m.,null,null,null,null,null,false
575,Novares,40A m.,null,null,null,null,null,false
577,Witte,42B c.,null,null,null,null,null,false
578,Novares,39A c.,null,null,null,null,null,false
579,Novares,40B m.,null,null,null,null,null,false
580,Novares,39A c.,null,null,null,null,null,false
581,Novares,40A m.,null,null,null,null,null,false
582,Škoda,50C z.,null,null,null,null,null,false
583,Škoda,47A z.,null,null,null,null,null,false
584,Škoda,47A c.,null,null,null,null,null,false
586,Novares,40A c.,null,null,null,null,null,false
587,Ideal,45C c.,null,null,null,null,null,false
589,Novares,40A c.,null,null,null,null,null,false
59,Novares,40C č.,null,null,null,null,null,false
590,Škoda,48A b.,null,null,null,null,null,false
591,Škoda,48A b.,null,null,null,null,null,false
592,Škoda,48A b.,null,null,null,null,null,false
593,Škoda,48A b.,null,null,null,null,null,false
597,AFSI,37A č.,null,null,null,null,null,false
598,Scherdel,38A b.,null,null,null,null,null,false
599,Mubea,51E b.,null,null,null,null,null,false
600,Scherdel,38A b.,null,null,null,null,null,false
603,Witte,41A b.,null,null,null,null,null,false
604,Witte,41C m.,null,null,null,null,null,false
605,Škoda,50B z.,null,null,null,null,null,false
606,Škoda,48C c.,null,null,null,null,null,false
607,Škoda,49A z.,null,null,null,null,null,false
608,Škoda,52C c.,null,null,null,null,null,false
609,Adient,46A z.,null,null,null,null,null,false
610,Adient,46B z.,null,null,null,null,null,false
611,Adient,46C z.,null,null,null,null,null,false
612,Adient,46A c.,null,null,null,null,null,false
613,Adient,46C c.,null,null,null,null,null,false
614,Adient,45A b.,null,null,null,null,null,false
615,Adient,46A m.,null,null,null,null,null,false
616,Škoda,47C h.,null,null,null,null,null,false
617,Adient,45A z.,null,null,,null,null,false
618,Adient,46C m.,null,null,,null,null,false
619,Adient,46A m.,null,null,null,null,null,false
62,Others,44C h.,null,null,null,null,null,false
620,AFSI,38A z.,null,null,null,null,null,false
621,AFSI,38B z.,null,null,null,null,null,false
622,Witte,41A b.,null,null,null,null,null,false
624,Others,51C c.,null,null,null,null,null,false
625,Mubea,51E c.,null,null,null,null,null,false
626,Scherdel,38C m.,null,null,null,null,null,false
627,Novares,39C h.,null,null,null,null,null,false
628,Witte,42C m.,Novares,39C h.,null,null,null,false
629,Novares,39C z.,null,null,null,null,null,false
632,Novares,39C z.,null,null,null,null,null,false
633,Novares,39C z.,null,null,null,null,null,false
634,Škoda,48C b.,null,null,null,null,null,false
635,Mubea,51E c.,null,null,,null,null,false
636,Scherdel,38B m.,null,null,null,null,null,false
64,Škoda,48A b.,null,null,null,null,null,false
640,Scherdel,38C m.,null,null,null,null,null,false
641,Škoda,48C b.,null,null,null,null,null,false
642,Witte,41A c.,null,null,null,null,null,false
645,Škoda,47B z.,null,null,null,null,null,false
646,Škoda,48A z.,null,null,null,null,null,false
647,Škoda,48A z.,null,null,null,null,null,false
648,Škoda,49A m.,null,null,null,null,null,false
649,Škoda,49C h.,null,null,null,null,null,false
65,Škoda,48A b.,null,null,null,null,null,false
650,Škoda,51F c.,null,null,null,null,null,false
651,Škoda,48C m.,null,null,null,null,null,false
652,Škoda,48B z.,null,null,null,null,null,false
