id,customer,position,status,is_deleted,product_name
660,Škoda,48A m.,null,false,null
661,Škoda,49A c.,null,false,null
662,Škoda,47C m.,null,false,null
664,Škoda,47C m.,null,false,null
740,Škoda,47C m.,null,false,null
741,Škoda,49D h.,null,false,null
746,Škoda,51C c.,null,false,null
747,Škoda,52A c.,null,false,null
748,Škoda,49B m.,null,false,null
752,Škoda,52B z.,null,false,null
753,Škoda,52A z.,null,false,null
754,Škoda,51A c.,null,false,null
755,Škoda,50A z.,null,false,null
756,Škoda,50A z.,null,false,null
757,Škoda,50B z.,null,false,null
761,Škoda,48A c.,null,false,null
762,Škoda,47A c.,null,false,null
764,Škoda,48B b.,null,false,null
765,Škoda,48B m.,null,false,null
816,Škoda,50C b.,null,false,null
817,Škoda,50C b.,null,false,null
969,Škoda,49D z.,null,false,null
26,Novares,39B z.,null,false,null
57,Novares,44C z.,null,false,null
187,Novares,40B c.,null,false,null
188,Novares,39B m.,null,false,null
191,Novares,39A m.,null,false,null
196,Novares,39A b.,null,false,null
209,Novares,39B m.,null,false,null
213,Novares,39B z.,null,false,null
225,Novares,39A m.,null,false,null
318,Novares,39A m.,null,false,null
320,Novares,40A m.,null,false,null
333,Novares,39B h.,null,false,null
337,Novares,39A h.,null,false,null
384,Novares,40B m.,null,false,null
397,Novares,40A b.,null,false,null
452,Novares,40A m.,null,false,null
454,Novares,40C m.,null,false,null
455,Novares,40A b.,null,false,null
456,Novares,40A c.,null,false,null
485,Novares,39B z.,null,false,null
488,Novares,40B c.,null,false,null
900,Novares,40C z.,null,false,null
902,Novares,40C z.,null,false,null
876,Scherdel,38A m.,null,false,null
491,Novares,40A h.,null,false,null
496,Novares,40B c.,null,false,null
526,Novares,39C c.,null,false,null
530,Novares,39C c.,null,false,null
535,Novares,39C c.,null,false,null
536,Novares,39C c.,null,false,null
537,Novares,39C c.,null,false,null
574,Novares,40A m.,null,false,null
575,Novares,40A m.,null,false,null
578,Novares,39A c.,null,false,null
579,Novares,40B m.,null,false,null
632,Novares,39C z.,null,false,null
633,Novares,39C z.,null,false,null
710,Novares,39B z.,null,false,null
711,Novares,39B m.,null,false,null
858,Novares,39A m.,null,false,null
862,Novares,39H z.,null,false,null
893,Novares,49C z.,null,false,null
894,Novares,39H z.,null,false,null
895,Novares,39H z.,null,false,null
916,Novares,36C m.,null,false,null
917,Novares,35C m.,null,false,null
960,Novares,40C h.,null,false,null
33,Witte,41C z.,null,false,null
49,Witte,44A c.,null,false,null
50,Witte,43A b.,null,false,null
54,Witte,42A m.,null,false,null
233,Witte,41B z.,null,false,null
276,Witte,41A m.,null,false,null
278,Witte,41C c.,null,false,null
280,Witte,42A b.,null,false,null
284,Witte,41A h.,null,false,null
285,Witte,41A h.,null,false,null
286,Witte,42B h.,null,false,null
287,Witte,41B b.,null,false,null
288,Witte,41B b.,null,false,null
290,Witte,42A b.,null,false,null
291,Witte,42A h.,null,false,null
292,Witte,42A h.,null,false,null
293,Witte,41B h.,null,false,null
298,Witte,41B m.,null,false,null
308,Witte,42A h.,null,false,null
309,Witte,41B m.,null,false,null
310,Witte,42A h.,null,false,null
311,Witte,41B m.,null,false,null
343,Witte,41B c.,null,false,null
347,Witte,42C h.,null,false,null
350,Witte,41C m.,null,false,null
351,Witte,41A m.,null,false,null
353,Witte,41A m.,null,false,null
356,Witte,41C z.,null,false,null
361,Witte,41A h.,null,false,null
362,Witte,41B m.,null,false,null
363,Witte,41C b.,null,false,null
364,Witte,41A c.,null,false,null
383,Witte,41A m.,null,false,null
391,Witte,42C c.,null,false,null
398,Witte,41B b.,null,false,null
400,Witte,41C c.,null,false,null
401,Witte,42B h.,null,false,null
405,Witte,41C z.,null,false,null
406,Witte,41C h.,null,false,null
407,Witte,41B m.,null,false,null
412,Witte,41C b.,null,false,null
417,Witte,41B h.,null,false,null
418,Witte,43C m.,null,false,null
420,Witte,41A h.,null,false,null
434,Witte,41A z.,null,false,null
435,Witte,42B h.,null,false,null
438,Witte,41A h.,null,false,null
441,Witte,41B b.,null,false,null
446,Witte,425 c.,null,false,null
462,Witte,44B h.,null,false,null
463,Witte,43B c.,null,false,null
470,Witte,43D b.,null,false,null
471,Witte,44B c.,null,false,null
473,Witte,44A h.,null,false,null
474,Witte,43D c.,null,false,null
475,Witte,43D c.,null,false,null
477,Witte,44A h.,null,false,null
497,Witte,44B c.,null,false,null
523,Witte,42B b.,null,false,null
533,Witte,43B b.,null,false,null
534,Witte,41C b.,null,false,null
541,Witte,41A b.,null,false,null
558,Witte,41A b.,null,false,null
569,Witte,41C c.,null,false,null
570,Witte,42C c.,null,false,null
577,Witte,42B c.,null,false,null
603,Witte,41A b.,null,false,null
622,Witte,41A b.,null,false,null
669,Witte,43C m.,null,false,null
672,Witte,43A z.,null,false,null
677,Witte,42C b.,null,false,null
678,Witte,42A c.,null,false,null
679,Witte,42A c.,null,false,null
686,Witte,43A c.,null,false,null
694,Witte,43B z.,null,false,null
698,Witte,42C m.,null,false,null
699,Witte,42C m.,null,false,null
700,Witte,42A m.,null,false,null
701,Witte,42A b.,null,false,null
718,Witte,42A m.,null,false,null
719,Witte,42B m.,null,false,null
727,Witte,42B m.,null,false,null
730,Witte,43A m.,null,false,null
732,Witte,43A z.,null,false,null
733,Witte,43A m.,null,false,null
815,Witte,42C c.,null,false,null
845,Witte,41A z.,null,false,null
846,Witte,43D b.,null,false,null
897,Witte,43D m.,null,false,null
918,Witte,43D m.,null,false,null
924,Witte,43D z.,null,false,null
953,Witte,36B m.,null,false,null
954,Witte,36B m.,null,false,null
955,Witte,36B m.,null,false,null
126,Scherdel,37C h.,null,false,null
127,Scherdel,37C h.,null,false,null
171,Scherdel,37C h.,null,false,null
382,Scherdel,37C h.,null,false,null
548,Scherdel,37A h.,null,false,null
557,Scherdel,38C m.,null,false,null
598,Scherdel,38A b.,null,false,null
600,Scherdel,38A b.,null,false,null
636,Scherdel,38B m.,null,false,null
640,Scherdel,38C m.,null,false,null
767,Scherdel,37B z.,null,false,null
915,Scherdel,38C b.,null,false,null
388,AFSI,37B c.,null,false,null
597,AFSI,37A z.,null,false,null
620,AFSI,38A z.,null,false,null
621,AFSI,38B z.,null,false,null
807,AFSI,36B z.,null,false,null
612,Adient,46A c.,null,false,null
614,Adient,45A b.,null,false,null
619,Adient,46A m.,null,false,null
137,Mubea,51E c.,null,false,null
221,Mubea,51E m.,null,false,null
469,Mubea,51E m.,null,false,null
599,Mubea,51E b.,null,false,null
81,Ideal,44B m.,null,false,null
180,Ideal,45B m.,null,false,null
685,Ideal,45C b.,null,false,null
36,Others,44B h.,null,false,null
62,Others,44C z.,null,false,null
76,Others,44C m.,null,false,null
168,Others,44C b.,null,false,null
208,Others,44C b.,null,false,null
267,Others,44C h.,null,false,null
270,Others,37B c.,null,false,null
283,Others,44C b.,null,false,null
360,Others,51E h.,null,false,null
399,Others,51E h.,null,false,null
461,Others,37A c.,null,false,null
481,Others,52A m.,null,false,null
482,Others,37A m.,null,false,null
483,Others,37A m.,null,false,null
495,Others,47C c.,null,false,null
504,Others,44C b.,null,false,null
697,Others,44C m.,null,false,null
758,Others,44B m.,null,false,null
814,Others,44A z.,null,false,null
828,Others,44B z.,null,false,null
835,Others,49D c.,null,false,null
839,Others,45D z.,null,false,null
840,Others,47E z.,null,false,null
841,Others,45D c.,null,false,null
842,Others,45D c.,null,false,null
843,Others,47E z.,null,false,null
860,Others,45E c.,null,false,null
861,Others,45E c.,null,false,null
879,Others,47D z.,null,false,null
898,Others,50C z.,null,false,null
899,Others,36C b.,null,false,null
901,Others,36C b.,null,false,null
922,Others,50C z.,null,false,null
926,Others,45E z.,null,false,null
949,Others,45E b.,null,false,null
487,Novares,39B h.,null,false,null
786,Scherdel,38A c.,null,false,null
787,Scherdel,37B c.,null,false,null
941,Novares,40C c.,null,false,null
944,Novares,40C c.,null,false,null
771,Scherdel,38D c.,null,false,null
772,Scherdel,38C c.,null,false,null
773,Scherdel,38C c.,null,false,null
956,Others,45F c.,null,false,null
957,Others,45G c.,null,false,null
617,Adient,45A z.,,false,null
618,Adient,46C m.,,false,null
489,Škoda,40A h.,null,false,null
490,Škoda,40A h.,null,false,null
961,Škoda,48A c.,null,false,null
1007,Witte,43D z.,null,false,null
1008,Witte,43D z.,null,false,null
1009,Witte,43D z.,null,false,null
1010,Witte,43D z.,null,false,null
1015,Witte,36B m.,null,false,null
1016,Witte,36B m.,null,false,null
1018,Witte,51B c.,null,false,null
1025,Witte,43D z.,null,false,null
29,Witte,Mezisklad,null,false,null
30,Witte,Mezisklad,null,false,null
970,Witte,Mezisklad,null,false,null
971,Witte,Mezisklad,null,false,null
972,Witte,Mezisklad,null,false,null
973,Witte,Mezisklad,null,false,null
974,Witte,Mezisklad,null,false,null
975,Witte,Mezisklad,null,false,null
976,Witte,Mezisklad,null,false,null
1019,Witte,Mezisklad,null,false,null
1026,Witte,Mezisklad,null,false,null
1027,Witte,Mezisklad,null,false,null
1028,Witte,Mezisklad,null,false,null
35,Others,Mezisklad,null,false,null
43,Others,Mezisklad,null,false,null
886,Others,Mezisklad,null,false,null
887,Others,Mezisklad,null,false,null
38,Others,44B h.,null,false,null
70,Others,44C h.,null,false,null
210,Novares,39B m.,null,false,null
237,Others,51C m.,null,false,null
239,Others,45D e.,null,false,null
271,Others,51C m.,null,false,null
299,Others,51E h.,null,false,null
368,Novares,40A m.,null,false,null
369,Novares,40A m.,null,false,null
392,Witte,41B c.,null,false,null
432,Others,45C c.,null,false,null
556,Witte,41B b.,null,false,null
587,Others,45C c.,null,false,null
624,Others,51C c.,null,false,null
683,Ideal,45B b.,null,false,null
687,Witte,43A c.,null,false,null
689,Ideal,45C c.,null,false,null
903,Witte,43D z.,null,false,null
904,Witte,43D z.,null,false,null
1024,Witte,43D z.,null,false,null
14,Novares,36A z.,null,false,null
15,Novares,36A z.,null,false,null
1000,Witte,36C z.,null,false,null
1001,Others,51E z.,null,false,null
1003,Others,49E b.,null,false,null
1004,Others,49E b.,null,false,null
1005,Others,51D z.,null,false,null
1006,Škoda,48A h.,null,false,null
1011,Others,45E m.,null,false,null
1012,Witte,36A m.,null,false,null
1013,Witte,36A m.,null,false,null
1014,Witte,36B m.,null,false,null
1017,Škoda,51B c.,,false,null
1020,Witte,49E h.,null,false,null
1021,Witte,49E c.,null,false,null
1022,Witte,49B z.,null,false,null
1023,Witte,49C z.,null,false,null
143,Witte,41C m.,null,false,null
158,Others,44C b.,null,false,null
165,Mubea,51E b.,null,false,null
167,Others,44C h.,null,false,null
175,Ideal,45B m.,null,false,null
178,Ideal,45B m.,null,false,null
182,Ideal,45C m.,null,false,null
184,Novares,40A c.,null,false,null
186,Novares,39B c.,null,false,null
21,Škoda,49B c.,null,false,null
212,Novares,39B c.,null,false,null
22,Škoda,49C h.,null,false,null
23,Škoda,51B z.,null,false,null
242,Others,44C b.,null,false,null
243,Novares,39A h.,null,false,null
264,Novares,40B z.,null,false,null
265,Novares,40B m.,null,false,null
277,Witte,42A m.,null,false,null
279,Witte,41C b.,null,false,null
28,Novares,44C b.,null,false,null
281,Witte,41A m.,null,false,null
294,Witte,42A b.,null,false,null
312,Witte,41C b.,null,false,null
321,Novares,39A c.,null,false,null
322,Novares,39A m.,null,false,null
323,Novares,39B c.,null,false,null
