Číslo formy,Název výroby,Zákazník,Pozice,Stav,Původní pozice,Návodka (URL),Fotografie formy,Smazáno
280,null,Witte,42A h.,null,null,null,null,false
281,null,Witte,41A h.,null,null,"[{""url"" : ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/281_01043979060_Dichtung_2_00281.pdf"", ""title"" : ""Návodka""}]",null,false
283,null,Others,44C b.,null,null,null,null,false
284,null,Witte,41A h.,null,null,null,null,false
285,null,Witte,41A h.,null,null,null,null,false
286,null,Witte,42B h.,null,null,null,null,false
287,null,Witte,41B h.,null,null,null,null,false
288,null,Witte,41B h.,null,null,null,null,false
289,null,Witte,41B b.,null,null,null,null,false
29,null,Witte,Mezisklad,null,null,"[{""url"" : ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/29_00029_Antriebshebel_L_R.pdf"", ""title"" : ""Návodka""}]",null,false
290,null,Witte,42A h.,null,null,null,null,false
291,null,Witte,42A h.,null,null,null,null,false
292,null,Witte,42A h.,null,null,null,null,false
293,null,Witte,41B h.,null,null,null,null,false
294,null,Witte,41B h.,null,null,null,null,false
298,null,Witte,41B m.,null,null,null,null,false
299,null,Others,51E h.,null,null,null,null,false
30,null,Witte,Mezisklad,null,null,"[{""url"":""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/30_00030_Austellhebel_L_R.pdf"",""title"":""Návodka""}]",null,false
308,null,Witte,41B m.,null,null,null,null,false
309,null,Witte,41B m.,null,null,null,null,false
310,null,Witte,42A h.,null,null,null,null,false
311,null,Witte,41B m.,null,null,null,null,false
312,null,Witte,41C m.,null,null,null,null,false
318,null,Novares,39A m.,null,null,null,null,false
320,null,Novares,40A m.,null,null,null,null,false
321,null,Novares,39A h.,null,null,null,null,false
322,null,Novares,39B h.,null,null,null,null,false
323,null,Novares,39B h.,null,null,null,null,false
324,null,Novares,39A h.,null,null,null,null,false
327,null,Novares,39C h.,null,null,null,null,false
328,null,Novares,39B h.,null,null,null,null,false
329,null,Novares,39C h.,null,null,null,null,false
33,null,Witte,41C z.,null,null,"[{""url"" : ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/33_Haltering_00033.pdf"", ""title"" : ""Návodka""}]",null,false
330,null,Novares,39A h.,null,null,null,null,false
331,null,Novares,39C h.,null,null,null,null,false
332,null,Novares,39C h.,null,null,null,null,false
333,null,Novares,39B h.,null,null,null,null,false
334,null,Novares,40C h.,null,null,null,null,false
335,null,Novares,39B h.,null,null,null,null,false
336,null,Novares,39A h.,null,null,null,null,false
337,null,Novares,39A h.,null,null,null,null,false
338,null,Novares,39B b.,null,null,null,null,false
339,null,Novares,39A h.,null,null,null,null,false
34,null,Škoda,49D b.,null,null,"[{""url"" : ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/34_Odpadkovy_kos-pevny_dil_9B9_00034.pdf"", ""title"" : ""Návodka""}]",null,false
342,null,Novares,39B h.,null,null,null,null,false
343,null,Witte,41B c.,null,null,null,null,false
347,null,Witte,41C m.,null,null,null,null,false
35,null,Others,Mezisklad,null,null,"[{""url"" : ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/35_00035_Uebertragungshebel_L_R.pdf"", ""title"" : ""Návodka""}]",null,false
350,null,Witte,41C m.,null,null,null,null,false
351,null,Witte,41A m.,null,null,null,null,false
353,null,Witte,41A m.,null,null,null,null,false
356,null,Witte,41C m.,null,null,null,null,false
357,null,Novares,39A h.,null,null,null,null,false
36,null,Others,44B h.,null,null,"[{""url"" : ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/36_Potting_Dam_00036.pdf"", ""title"" : ""Návodka""}]",null,false
360,null,Others,51E h.,null,null,null,null,false
361,null,Witte,41A h.,null,null,null,null,false
362,null,Witte,41B m.,null,null,null,null,false
363,null,Witte,41C b.,null,null,null,null,false
364,null,Witte,41A m.,null,null,null,null,false
368,null,Novares,40A m.,null,null,null,null,false
369,null,Novares,40A m.,null,null,null,null,false
370,null,Witte,43E b.,null,null,"[{""url"" : ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/370_00370_Fanlager.pdf"", ""title"" : ""Návodka""}]",null,false
38,null,Others,44B h.,null,null,null,null,false
382,null,Scherdel,37C h.,null,null,null,null,false
383,null,Witte,41A m.,null,null,null,null,false
384,null,Novares,40B b.,null,null,"[{""url"" : ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/384_ZT_IT_FS_Mitte_RL_Blende_W26908_00384.pdf"", ""title"" : ""Návodka""}]",null,false
385,null,Others,37A c.,null,null,null,null,false
388,null,AFSI,37B c.,null,null,null,null,false
389,null,Škoda,50B m.,null,null,null,null,false
39,null,Škoda,49E m.,null,null,"[{""url"" : ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/39_00039_Cover_VD_00039.pdf"", ""title"" : ""Návodka""}]",null,false
390,null,Škoda,48A h.,null,null,null,null,false
391,null,Witte,42C c.,null,null,null,null,false
392,null,Witte,41B c.,null,null,null,null,false
395,null,Others,51E h.,null,null,null,null,false
397,null,Novares,40A b.,null,null,"[{""url"" : ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/397_ZT_IT_FS_Mitte_LL_Blende_W26903_00397.pdf"", ""title"" : ""Návodka""}]",null,false
398,null,Witte,41B b.,null,null,null,null,false
399,null,Others,51E h.,null,null,null,null,false
40,null,Škoda,49E m.,null,null,"[{""url"" : ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/40_00040_Cover_PSD_00040.pdf"", ""title"" : ""Návodka""}]",null,false
400,null,Witte,41C c.,null,null,null,null,false
401,null,Witte,42B h.,null,null,null,null,false
402,null,Škoda,48B b.,null,null,null,null,false
403,null,Škoda,47A b.,null,null,null,null,false
404,null,Škoda,47A b.,null,null,null,null,false
405,null,Witte,41C z.,null,null,null,null,false
406,null,Witte,41C h.,null,null,null,null,false
407,null,Witte,41C c.,null,null,null,null,false
408,null,Novares,40A z.,null,null,null,null,false
41,null,Škoda,52B c.,null,null,"[{""url"" : ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/41_00041_Klammer_VD_00041.pdf"", ""title"" : ""Návodka""}]",null,false
410,null,Škoda,47B h.,null,null,null,null,false
411,null,Škoda,47B h.,null,null,null,null,false
412,null,Witte,41B c.,null,null,null,null,false
413,null,Scherdel,38B b.,null,null,null,null,false
414,null,Scherdel,38B b.,null,null,null,null,false
417,null,Witte,41B b.,null,null,null,null,false
418,null,Witte,43C m.,null,null,null,null,false
419,null,Witte,41A m.,null,null,null,null,false
42,null,Škoda,52B c.,null,null,"[{""url"" : ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/42_00042_Klammer_PSD_00042.pdf"", ""title"" : ""Návodka""}]",null,false
420,null,Witte,41A h.,null,null,null,null,false
422,null,Others,44C b.,null,null,"[{""url"" : ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/422_Rubstrip_end_cape_247_514_-_7.pdf"", ""title"" : ""Návodka""}, {""url"" : ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/422_Rubstrip_end_cape_247_514_-3.pdf"", ""title"" : ""Navodka_alt""}]",null,false
426,null,Škoda,47A h.,null,null,null,null,false
427,null,Škoda,47A h.,null,null,null,null,false
428,null,Škoda,47A h.,null,null,null,null,false
429,null,Witte,41A h.,null,null,null,null,false
43,null,Others,Mezisklad,null,null,"[{""url"" : ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/43_00043_Frame_L_R.pdf"", ""title"" : ""Návodka""}]",null,false
431,null,Škoda,47B h.,null,null,null,null,false
432,null,Others,45C c.,null,null,null,null,false
434,null,Witte,41A c.,null,null,null,null,false
435,null,Witte,42B h.,null,null,null,null,false
438,null,Witte,41A h.,null,null,null,null,false
439,null,Others,37C h.,null,null,null,null,false
44,null,Witte,42A z.,,,"[{""url"" : ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/44_00044_Ausloesehebel_L_R_00044.pdf"", ""title"" : ""Návodka""}]",null,false
